#,Keyword,Project,Township,Location,BHK,Intent,Funnel,SEO_PPC,Priority,Status
5164,"VTP Cygnus Kharadi price","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5165,"VTP Cygnus price list","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5166,"VTP Cygnus latest price 2026","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5167,"VTP Cygnus current price","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5168,"VTP Cygnus starting price","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5169,"VTP Cygnus flat price","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5170,"VTP Cygnus apartment price","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5171,"VTP Cygnus per sq ft price","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5172,"VTP Cygnus price per square foot","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5173,"VTP Cygnus cost","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5174,"VTP Cygnus total cost","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5175,"VTP Cygnus cost sheet all inclusive","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5176,"VTP Cygnus booking amount","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5177,"VTP Cygnus payment plan","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5178,"VTP Cygnus subvention scheme 10 90","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5179,"VTP Cygnus no pre EMI offer","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5180,"VTP Cygnus bank loan approval SBI HDFC","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5181,"VTP Cygnus down payment amount","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5182,"VTP Cygnus home loan EMI calculator","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5183,"VTP Cygnus stamp duty and GST charges","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5184,"buy VTP Cygnus flat for sale","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5185,"buy VTP Cygnus apartment Pune","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5186,"VTP Cygnus direct developer booking","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5187,"VTP Cygnus zero brokerage booking","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5188,"VTP Cygnus booking online","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5189,"VTP Cygnus site visit appointment","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5190,"VTP Cygnus sales office contact number","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5191,"VTP Cygnus available units for sale","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5192,"VTP Cygnus ready possession inventory","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5193,"VTP Cygnus resale flats for sale","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5194,"VTP Cygnus resale price list","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P1","PARTIALLY_DELIVERED"
5195,"VTP Cygnus 2 BHK","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5196,"VTP Cygnus 2 BHK price","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5197,"VTP Cygnus 2 BHK cost","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5198,"VTP Cygnus 2 BHK all inclusive price","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5199,"VTP Cygnus 2 BHK floor plan","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5200,"VTP Cygnus 2 BHK floor plan PDF","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5201,"VTP Cygnus 2 BHK carpet area","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5202,"VTP Cygnus 2 BHK usable area","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5203,"VTP Cygnus 2 BHK room dimensions","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5204,"VTP Cygnus 2 BHK sample flat","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5205,"VTP Cygnus 2 BHK sample flat video tour","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5206,"buy VTP Cygnus 2 BHK flat","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5207,"buy VTP Cygnus 2 BHK in Kharadi","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5208,"VTP Cygnus 2 BHK for sale","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5209,"VTP Cygnus 2 BHK booking","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5210,"VTP Cygnus 2 BHK ready possession","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5211,"VTP Cygnus 2 BHK resale","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5212,"VTP Cygnus 2 BHK rental yield","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5213,"VTP Cygnus 2 BHK rent per month","VTP Cygnus","Township Pegasus","Kharadi","2 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5214,"VTP Cygnus 3 BHK","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5215,"VTP Cygnus 3 BHK price","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5216,"VTP Cygnus 3 BHK cost","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5217,"VTP Cygnus 3 BHK all inclusive price","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5218,"VTP Cygnus 3 BHK floor plan","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5219,"VTP Cygnus 3 BHK floor plan PDF","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5220,"VTP Cygnus 3 BHK carpet area","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5221,"VTP Cygnus 3 BHK usable area","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5222,"VTP Cygnus 3 BHK room dimensions","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5223,"VTP Cygnus 3 BHK sample flat","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5224,"VTP Cygnus 3 BHK sample flat video tour","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5225,"buy VTP Cygnus 3 BHK flat","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5226,"buy VTP Cygnus 3 BHK in Kharadi","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5227,"VTP Cygnus 3 BHK for sale","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5228,"VTP Cygnus 3 BHK booking","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5229,"VTP Cygnus 3 BHK ready possession","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5230,"VTP Cygnus 3 BHK resale","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5231,"VTP Cygnus 3 BHK rental yield","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5232,"VTP Cygnus 3 BHK rent per month","VTP Cygnus","Township Pegasus","Kharadi","3 BHK","Transactional","BOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5233,"VTP Cygnus floor plan","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5234,"VTP Cygnus floor plans","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5235,"VTP Cygnus floor plan PDF download","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5236,"VTP Cygnus apartment layout","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5237,"VTP Cygnus flat layout","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5238,"VTP Cygnus unit plan","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5239,"VTP Cygnus master plan","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5240,"VTP Cygnus master plan layout PDF","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5241,"VTP Cygnus master layout diagram","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5242,"VTP Cygnus tower plan","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5243,"VTP Cygnus typical floor plan","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5244,"VTP Cygnus carpet area details","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5245,"VTP Cygnus built up area","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5246,"VTP Cygnus saleable area","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5247,"VTP Cygnus balcony area","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5248,"VTP Cygnus room dimensions","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5249,"VTP Cygnus vastu floor plan","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5250,"VTP Cygnus east facing flat","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5251,"VTP Cygnus west facing flat","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5252,"VTP Cygnus corner apartment","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5253,"VTP Cygnus high rise floor view","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5254,"VTP Cygnus maximum livable area MLA design","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5255,"VTP Cygnus zero space wastage layout","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5256,"VTP Cygnus brochure","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5257,"VTP Cygnus brochure PDF","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5258,"VTP Cygnus brochure download","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5259,"VTP Cygnus official brochure 2026","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5260,"VTP Cygnus price brochure","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5261,"VTP Cygnus MahaRERA number","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5262,"VTP Cygnus MahaRERA registration certificate","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5263,"VTP Cygnus RERA details","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5264,"VTP Cygnus legal approvals","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5265,"VTP Cygnus project registration","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5266,"VTP Cygnus construction update","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5267,"VTP Cygnus construction status 2026","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5268,"VTP Cygnus latest construction photos","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5269,"VTP Cygnus drone video construction update","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5270,"VTP Cygnus possession date","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5271,"VTP Cygnus expected possession timeline","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5272,"VTP Cygnus handover date","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5273,"VTP Cygnus occupancy certificate OC status","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5274,"VTP Cygnus completion status","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5275,"VTP Cygnus reviews","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5276,"VTP Cygnus customer reviews","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5277,"VTP Cygnus construction quality reviews","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5278,"VTP Cygnus ratings and feedback","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5279,"VTP Cygnus complaints and resolution","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5280,"VTP Cygnus pros and cons review","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5281,"VTP Cygnus locality review Kharadi","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5282,"VTP Cygnus 360 virtual tour walkthrough","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO","P1","PARTIALLY_DELIVERED"
5283,"VTP Cygnus amenities","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5284,"VTP Cygnus clubhouse","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5285,"VTP Cygnus swimming pool","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5286,"VTP Cygnus gymnasium and fitness center","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5287,"VTP Cygnus sports facilities","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5288,"VTP Cygnus kids play area","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5289,"VTP Cygnus landscaped gardens","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5290,"VTP Cygnus jogging track","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5291,"VTP Cygnus multi purpose hall","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5292,"VTP Cygnus 5 tier security system","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5293,"VTP Cygnus EV charging station","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5294,"VTP Cygnus lifestyle amenities list","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5295,"VTP Cygnus location","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5296,"VTP Cygnus location map","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5297,"VTP Cygnus address and direction","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5298,"VTP Cygnus connectivity","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5299,"VTP Cygnus near metro station","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5300,"VTP Cygnus distance from Hinjewadi IT Park","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5301,"VTP Cygnus distance from EON IT Park","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5302,"VTP Cygnus distance from Pune airport","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5303,"VTP Cygnus distance from Mumbai Pune Expressway","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5304,"VTP Cygnus nearest schools and hospitals","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5305,"VTP Cygnus near EON IT Park Kharadi","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5306,"VTP Cygnus near Rajiv Gandhi Infotech Park Hinjewadi","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5307,"VTP Cygnus near World Trade Center Kharadi","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5308,"VTP Cygnus near Hinjewadi Phase 1 Metro Station","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5309,"VTP Cygnus near Balewadi High Street","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5310,"VTP Cygnus near Mumbai Pune Expressway","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5311,"VTP Cygnus near Baner Pashan Link Road","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5312,"VTP Cygnus near Phoenix Marketcity Viman Nagar","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5313,"VTP Cygnus near Corinthians Club NIBM","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5314,"VTP Cygnus near Chandani Chowk Bavdhan","VTP Cygnus","Township Pegasus","Kharadi","All","Informational","MOFU","SEO","P2","PARTIALLY_DELIVERED"
5315,"VTP Cygnus under 50 lakhs","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5316,"VTP Cygnus under 75 lakhs","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5317,"VTP Cygnus under 90 lakhs","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5318,"VTP Cygnus under 1 crore","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5319,"VTP Cygnus under 1.25 crore","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5320,"VTP Cygnus under 1.5 crore","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5321,"VTP Cygnus under 2 crore","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5322,"VTP Cygnus under 2.5 crore","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5323,"VTP Cygnus under 3 crore","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5324,"VTP Cygnus 1 crore budget","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5325,"VTP Cygnus 2 crore budget","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5326,"VTP Cygnus affordable luxury flat","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5327,"VTP Cygnus all inclusive price sheet","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5328,"VTP Cygnus stamp duty waiver offer","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5329,"VTP Cygnus festival discount scheme","VTP Cygnus","Township Pegasus","Kharadi","All","Transactional","BOFU","PPC","P2","PARTIALLY_DELIVERED"
5330,"book VTP Cygnus online Pune","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5331,"schedule site visit for VTP Cygnus","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5332,"download VTP Cygnus price sheet PDF","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5333,"download VTP Cygnus floor plan AutoCAD PDF","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5334,"view VTP Cygnus sample flat photos","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5335,"check VTP Cygnus construction progress live","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
5336,"check VTP Cygnus MahaRERA certificate online","VTP Cygnus","Township Pegasus","Kharadi","All","Commercial","MOFU","SEO/PPC","P1","PARTIALLY_DELIVERED"
